appid,game_name,review_text,voted_up,votes_up,weighted_vote_score,timestamp
3115220,Town to City,"At the current price I cannot recommend this game.  This is a $5 game at best and not for anything other than it's fairly repetitive after 15hrs.  Love the aesthetic, the decor, the mechanics but the depth is just not there.  There needs to be a little more strife or pressure to make it feel challenging.  All that said, it's entertaining for about a week then replayability is hard.",False,6,0.5374603271484375,1768178077
3115220,Town to City,there's no way to restart a level once you've started it. so if you fuck yourself out of money you're just starting over and learning the tutorial controls again. i hope they add the ability to restart levels so i can actually try the game out without redoing all the initial control learning.,False,1,0.52173912525177,1768183488
3115220,Town to City,"It`s a nice game, but now regardless of what I do, the cursor is never aligned with the screen.... I`m on a laptop... I hope this bug will be fixed, because already restart, uninstall, repair, everything I could think of to fix it. I wzs fine until this morning & it`s not playable anymore",False,0,0.4814814925193786,1769964630
3115220,Town to City,"Let me know when they add an undo button. Until then scew this, im far to nit picky to play a game like this just to need to spend all my time constantly fixing things up without the MUCH NEEDED undo button!",False,2,0.4720812141895294,1769503517
3115220,Town to City,"[h1]Fun for an hour, but you'll eventually drown in benches.[/h1] [i]A cute city builder that starts strong but becomes a repetitive chore. Once you've placed your 40th garden and 200th street lamp, the magic disappears. Great for a quick distraction, but don't expect a deep experience.[/i]

[h1]The Bench-Placing Simulator[/h1]

[b]A Charming Start[/b] At first, I really enjoyed this game. There is something very satisfying about planning where people will live and decorating their homes with trees, fences, and gardens to keep them happy. I even went as far as making 40 individual gardens—one for every single house!

[b]The ""Copy-Paste"" Problem[/b] However, the charm wears off quickly. You eventually realize you're just placing the same street lamps and benches every two meters. Even when the second map introduces new mechanics that force you back to your first city, it just feels like the same cycle repeating itself. I got bored quite fast.

[b]Verdict[/b] It’s a cute game for a couple of hours, but it lacks the depth to keep you interested long-term. If you’ve seen one garden, you’ve seen them all.

[b]Score: 4/10 — I never want to see a street lamp again.[/b]",False,4,0.5152013301849365,1770256814
3115220,Town to City,This game wasnt terrible but I cant say its good either the placing is a bit glitchy and no it is not my pc I have insanely good specs also there isnt enough items not enough buildings and I know this is just a early access but that does not mean it will be good later on once it gets better I will change my review.,False,1,0.4648300111293792,1769897879
3115220,Town to City,"Still in early access and not much to do in game. It's like a super chill town building game, but it's just that. No challenges or surprises, so I guess maybe some people like it.",False,0,0.4615384638309478,1770281473
3115220,Town to City,"Great game when it doesn't crash, however after about 20 mins without fail it shuts down my PC completely.",False,0,0.4347825944423675,1769834171
3115220,Town to City,"Great bones. Problem is I want to spend my time making ALL my townfolk happy, not just the rich townfolk. The concept of the Bourgeoisie being a special class I have to change all my design plans around to be happy stinks. I don't want to spend my free time playing a game where I have constantly be a yes man in service of rich people, I already have a real life. It evokes real emotional disdain in the game for me. Give me a power fantasy where I can treat all my citizens by their needs and desires instead of their financial power. Encourage me to build neighborhoods for nature folks, and city folks, and sunflower folks, and blue house folks, and ponds folks, and beach folks, etc. ""I have more money so I matter more and now your town planning is screwed up"" is such a lame way to throw a cozy city builder off a cliff. (Devs, this is a chill game. Maybe think, ""what will the player be excited to do"" instead of ""what annoyances can we force onto the player"" when it comes to the research tree and this ""Bourgeoisie"" theme/mechanic.)",False,27,0.6671757102012634,1764847902
3115220,Town to City,"A huge part of the game seems to be towns/citys integrated with each others, but be aware there is bugs with save files. You may spend several hours in one town, just to lose the town if you start the next town.

The bug has been reported several times. Game braking to me at least. Can't recommend until they find a solution.",False,14,0.6455239653587341,1763416925
3115220,Town to City,"People really seem to love this game, and honestly I'm torn because at its core, I also love this game.  I think it has a beautiful artistic style, I think its approach to the genre is interesting and fun.  But I also really found it pretty boring after a short while, and it became obvious that the ""progression"" was just going to be a lot of rinse and repeat without much in the way of advancement or real achievement.  People want things, you give them those things, over and over and over.  Is this a core mechanic of this genre?  Sure.  But the way this game goes about it is just... dull.

I know it's meant to be relaxing, and a lot of the reviews emphasize how chill it is, but honestly I found it rather directionless.  This family needs a house with trees?  Plop down some trees.  Hooray, now they're happy.  This family wants water nearby?  Plop a house next to some water.  Hooray, they're happy now.  And while this is all simple and well and good for it, it just gets... boring.  And tedious.  And repetitive.  And not in the fun way a lot of games in this bracket can make it.  Again, I know this is meant to be a ""relaxing"" approach to a ""city building"" game, and it is definitely that.  And if you're someone who just wants to have a pretty game to look at on the side with no real investment in the development of your town beyond ""I planted some flowers and now they're happier"", then by all means, this is the game for you.

Honestly, judging by the reviews, this is obviously the game for a vast majority of the people playing this.  Which is honestly a bit confusing and maybe a little concerning, to consider the bar is apparently so low for thousands of people.  But, I grasp that I'm in the minority here, and very probably not the intended audience for this game.  And again, I don't think this is a ""bad"" game, it's just nothing impressive, especially not for $25 in Early Access.  There are plenty of other games in this genre that are in the same state of completion, if not further (or even released) for the same price or a few dollars more.  They'll give you 10x the content, engagement, and sense of accomplishment that this game will.  But if you don't want those things, and you instead just want to plop a few things down and feel like you've ""built a town"" then by all means, buy this and never look back.

Maybe I'll come back to this someday when there's more content.  I picked it up as soon as it came out because I loved the concept and the look of it, and I'm all for supporting smaller devs, but it just felt shallow, hollow, lackluster.  Pretty to look at, ugly to play.  And I returned it almost instantly, because the mundane nature of the whole thing was quickly apparent, and I didn't want to miss that 2 hour window.",False,22,0.6205583214759826,1764569284
3115220,Town to City,"Very beautiful city-builder, nicely using voxel graphics to allow micro-beautification of every building. 

That being said, at this point it has a terrible economy. Basically the more you grow, the more your pops demand. However, this game also uses workplace mechanics, so every building needs pops to function. In turn, the growth of your city is steadily decreasing in time, as for every new utility you need more pops to work in them, which requires you to employ more pops for previous needs. When games like Anno grants you more pops for satisfying more needs, this game punishes you for expanding. I would say it takes twice as much time to reach each next city update. It makes the campaign a tedious experience, opposite to snowballing.",False,13,0.6178547143936157,1763909432
3115220,Town to City,"I thought this game was just about cozy town building with less limitations than other games in this genre but actually this game currently having more limitation than production games. I tried to build my cozy town but i couldnt as you can understand earlier that what i said. Because houses needs stalls really really near them. Maybe it is only a problem for me but if i wanted to build a practical town instead of an cozy one, ı would just play another game instead.",False,10,0.5606626272201538,1763488787
3115220,Town to City,"i understand that this is still in early access, but i feel that this feedback is valid. 

it was very cute and fun at first, but became very tedious and grindy, and i'm just about at 9 hours now. all of the game goals start becoming very much the same thing over and over and it doesn't actually add anything to the gameplay, nothing feels like an accomplishment or like i'm doing anything gratifying. it feels like an idle mobile game at this point.

i also have not had any new asks from the villagers in a while, which gave me something to do. there really isn't anything to do besides decorate at this point. you can't interact with the villagers at all unless they ask you for something. after a few hours you don't contribute anything to the town in a way that feels fun. you unlock more decorations and buildings, put them down, and then literally nothing else happens to make it seem like it has an impact on the game. 

the art and concept, and sound design is very good (i like how getting close to certain buildings makes unique sound effects), i am just surprised at how i have lost interest in this game so quickly. 

if it actually had an effect on the villagers to put certain buildings or roads down, or having a certain layout for the town, that would be more fun. also i don't like how upgrading the roads makes them all look the same. being able to tell more of a story and make a better looking town by having roads of different styles was nicer. if upgrading the roads kept them looking the same that would be good.

this is also advertised at being able to crowd buildings, but eventually villagers get upset at too much crowding... so there's no way to make a really interesting crowded city without constant frowny bubbles from the villagers. i hope thye fix that as well and make most of them have a trait to like being in a big city or something",False,5,0.5417924523353576,1767752911
3115220,Town to City,"At the current price I cannot recommend this game.  This is a $5 game at best and not for anything other than it's fairly repetitive after 15hrs.  Love the aesthetic, the decor, the mechanics but the depth is just not there.  There needs to be a little more strife or pressure to make it feel challenging.  All that said, it's entertaining for about a week then replayability is hard.",False,6,0.5374603271484375,1768178077
3115220,Town to City,there's no way to restart a level once you've started it. so if you fuck yourself out of money you're just starting over and learning the tutorial controls again. i hope they add the ability to restart levels so i can actually try the game out without redoing all the initial control learning.,False,1,0.52173912525177,1768183488
3115220,Town to City,"It`s a nice game, but now regardless of what I do, the cursor is never aligned with the screen.... I`m on a laptop... I hope this bug will be fixed, because already restart, uninstall, repair, everything I could think of to fix it. I wzs fine until this morning & it`s not playable anymore",False,0,0.4814814925193786,1769964630
3115220,Town to City,Excellent game but needs further optimisation. Game has crashed my entire PC twice and I'm not even halfway through the campaign.,False,4,0.4745669364929199,1766542763
3115220,Town to City,"Let me know when they add an undo button. Until then scew this, im far to nit picky to play a game like this just to need to spend all my time constantly fixing things up without the MUCH NEEDED undo button!",False,2,0.4720812141895294,1769503517
3115220,Town to City,"I have multiple gripes with this game to be completely honest.
Relaxing city builders are exactly what I love, next to RPGs, rogue-lite, and some other genres.
And overall, I really like this game.

However there are some things I can just not put up with at this point in time:

1) Performance: Yes it is still in EA, but as soon as I crossed the 400 inhabitants threshold the games performance began to drop significantly. From short freezes when placing new buildings, over longer freezes when moving shops, etc. It eventually got less and less playable, the closer I got to 600 inhabitants.
Which, EA or not, meant I could not enjoy playing it any more and was forced to abandon the city and start anew, just to run into the same issue eventually.
And I got a fairly good setup too. 5080TI, 64 GB DDR5 @6200, full m.2 NVME (2x 990 @2TB), Ryzen 9 9700 X3D.

2) Micro- and resource-management: For a ""cozy"" and ""relaxing"" city builder, you have to be too cautious and aware about your resources, supply chains, distributions, supply-ranges, supply-leverages, ""traits"" (preferences), etc. The deeper you dive, the less of a cozy experience it becomes, and the more optimised everything needs to be. In particular, with how workforce relates to everything.
You want to grow your stage 2 population, but they require amenities that require stage 1 population.
but in order to sustain more stage 1 population, you have to also meet their needs and requirements which requires yet more stage 1 population.
At some point, I felt like I had to do more labourforce management, than in any of the Anno games.
Not exactly cozy or relaxing any more.

In particular that last gripe kind of ruined it for me. As I went in with the expectation of ""cozy"" and ""relaxing"" as advertised, but ended up really having to deal with micro and macro management of resourceflow, optimisation, etc.
While Sandbox was fun, it did also take away a lot of the fun that comes with watching your settlement reach milestones and grow more organically.

I definitely will return to it after some patches (performance and balance) and happily change my review as applicable.
But for now, it simply did not meet my personal expectations.

Which is where I have a gripe with Valve/Steam xD
I would still give it a Thumbs Up, cuz as a game it is great.
Just not according to what I expected, therefor I personally did not like it as much, which equals a Thumbs Down.

So, as a foot note:
I can absolutely recommend it for the price point of around 20 bucks.
Just personally did not meet my expectations according to its advertised core gameplay loop, as such I'll give a downvote (for now).",False,3,0.4710112512111663,1767884734
3115220,Town to City,Lets start by saying Game looks gorgeous but far too fiddly for me. AI isnt great and the shop system needs a bit of work.,False,2,0.4679957926273345,1763726202
